"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"1",59,"3",1,"1","1","5","1","2",1,0,0,0,"1",59,"1","5","5",115051.288923,3.08
"2",68,"3",0,"1","1","5","1","2",2,0,0,2,"2",68,"1","5","1",94655.927633,5
"1",59,"3",0,"1","1","3","1","2",2,0,0,0,"2",45,"1","3","1",139320.855635,5
"2",57,"3",1,"1","1","4","1","2",3,0,0,0,"2",57,"1","4","1",20911.517791,1
"2",54,"3",0,"1","1","3","1","2",1,0,0,0,"2",54,"1","3","2",26128.790074,1.29
"2",46,"2",0,"1","1","3","1","2",4,0,1,0,"2",46,"1","3","1",26600.785497,4.67
"1",55,"1",0,"2","2","1","2","2",5,0,0,0,"1",55,"2","1","1",25877.858263,0.87
"2",30,"3",0,"1","1","4","1","2",2,0,0,0,"2",48,"1","2","5",34555.05702,0.55
"1",63,"4",1,"1","1","3","1","2",2,0,0,1,"1",63,"1","3","1",12192.846617,5
"2",50,"3",0,"1","1","3","1","2",2,0,0,0,"2",50,"1","3","1",113387.793825,5
"2",53,"3",0,"1","1","4","1","2",2,0,0,0,"2",56,"1","3","5",70343.140253,2.58
"2",52,"3",0,"1","1","4","1","2",3,0,0,0,"2",52,"1","4","4",110081.056257,1.33
"1",48,"2",0,"1","1","4","1","2",7,0,4,0,"2",45,"1","4","1",35100.900844,2.25
"1",64,"3",0,"1","1","5","1","2",2,0,0,2,"1",64,"1","5","1",87281.736911,1.32
"2",34,"3",0,"1","1","3","1","2",7,0,4,0,"1",37,"1","4","1",67808.788669,2.22
"1",64,"2",0,"2","1","3","2","2",3,0,0,2,"1",64,"2","3","1",9438.944176,1.54
"1",56,"3",0,"1","1","3","1","2",3,0,1,0,"2",52,"1","4","1",156804.433873,3.2
"2",56,"3",0,"1","1","5","1","2",2,0,0,0,"1",59,"1","3","1",112543.401742,5
"1",35,"4",0,"2","2","4","1","2",2,0,0,0,"2",33,"1","5","1",33441.912531,2.03
"2",64,"6",0,"2","1","5","1","2",2,0,0,2,"2",64,"2","5","1",17027.302711,5
"1",64,"6",0,"2","1","3","1","1",3,0,0,1,"1",64,"2","3","1",16791.752141,5
"2",48,"7",0,"1","1","3","1","2",4,1,0,0,"2",48,"1","3","3",52818.067398,1.4
"1",77,"4",1,"1","1","4","1","2",2,0,0,2,"1",77,"1","4","1",19001.381414,4.45
"2",34,"6",0,"2","2","5","1","2",3,1,0,0,"2",34,"2","5","1",12096.430859,5
"1",29,"3",0,"1","1","3","1","2",3,1,0,0,"2",21,"1","3","1",86371.452291,3.03
"1",68,"3",1,"1","1","4","1","2",3,0,0,2,"1",68,"1","4","1",71246.333506,2.53
"2",77,"3",0,"1","1","5","1","2",1,0,0,1,"2",77,"1","5","3",38086.990026,1.89
"1",53,"1",0,"2","2","1","2","2",1,0,0,0,"1",53,"2","1","1",21158.033745,1.2
"1",42,"6",0,"2","1","4","1","1",6,1,2,1,"2",43,"2","3","1",18336.457379,1.25
"2",70,"3",0,"1","1","3","1","2",1,0,0,1,"2",70,"1","3","2",55545.401828,1.65
"2",24,"4",0,"1","1","4","1","2",5,0,3,0,"2",29,"1","4","3",28762.603706,1.43
"1",34,"3",0,"1","1","2","1","2",6,1,3,0,"2",38,"1","3","6",14114.42476,1.13
"2",65,"3",0,"1","1","5","1","2",1,0,0,1,"2",65,"1","5","2",27253.87272,1.03
"1",30,"3",0,"1","1","3","1","2",7,2,2,0,"2",25,"1","3","1",19608.433405,0.67
"2",48,"1",0,"2","1","5","1","2",3,0,1,0,"1",55,"1","5","1",31765.692798,5
"2",40,"1",0,"2","1","2","2","2",5,1,2,1,"1",66,"2","1","1",29877.191163,1.63
"2",38,"3",0,"1","1","4","1","2",3,0,2,0,"2",38,"1","4","4",33160.516091,0.28
"1",23,"1",0,"1","1","2","2","2",6,1,1,0,"1",42,"2","1","1",51166.900015,1.33
"1",52,"4",1,"1","1","3","1","2",2,0,0,0,"1",52,"1","3","3",32501.193163,1.14
"1",38,"4",0,"1","1","4","1","2",2,0,0,0,"2",54,"1","3","1",21527.63823,3.81
"1",53,"4",0,"1","1","2","1","2",1,0,0,0,"1",53,"1","2","4",21502.300171,2.18
"1",77,"3",1,"1","1","5","1","2",2,0,0,2,"1",77,"1","5","1",53266.137366,5
"2",61,"3",0,"1","1","3","1","2",3,0,0,2,"1",64,"1","5","1",68603.550028,1.28
"1",26,"6",0,"2","1","5","1","2",1,0,0,0,"1",26,"2","5","5",22028.257672,4.26
"2",62,"3",0,"1","1","4","1","2",3,0,0,2,"1",70,"1","5","1",63776.020341,1.21
"1",48,"3",1,"1","1","3","1","2",5,0,3,0,"1",48,"1","3","3",23010.64255,1.04
"2",47,"2",0,"1","1","4","1","2",4,0,1,0,"1",47,"1","4","1",35787.271261,4.67
"2",80,"3",0,"1","1","4","1","2",2,0,0,2,"1",80,"1","5","1",32988.970301,5
"1",32,"7",0,"1","1","4","1","2",3,0,0,2,"1",70,"1","5","1",69244.437969,1.21
"1",38,"3",0,"1","1","5","1","2",1,0,0,0,"1",38,"1","5","6",84120.656677,5
"2",28,"3",0,"1","1","3","1","2",4,1,0,1,"2",61,"1","4","3",59843.172257,2.31
"1",80,"6",0,"1","1","3","1","2",2,0,0,1,"1",80,"1","3","2",15526.297551,2.26
"1",43,"2",0,"2","2","3","1","2",5,1,1,0,"2",46,"2","5","1",33544.72675,1.65
"2",45,"4",0,"1","1","2","1","2",2,0,0,0,"2",45,"1","2","5",25337.609307,2.58
"2",50,"3",0,"1","1","3","1","2",6,0,0,2,"2",52,"1","4","6",29166.123226,2.13
"2",25,"3",0,"1","1","5","1","2",1,0,0,0,"2",25,"1","5","5",36093.699481,0.21
"1",67,"1",0,"2","1","1","2","2",6,0,2,2,"1",67,"2","1","1",13846.32795,0.19
"1",43,"1",0,"1","1","4","1","2",4,0,2,0,"2",43,"1","5","1",34787.691722,3.82
"1",56,"3",0,"1","1","5","1","2",4,0,0,0,"1",56,"1","5","1",131436.10287,5
"1",57,"4",0,"1","1","5","1","2",4,0,0,0,"1",57,"1","5","1",21443.093768,5
"1",66,"3",0,"1","1","5","1","2",2,0,0,2,"1",66,"1","5","1",114033.698335,5
"1",54,"3",0,"1","1","4","1","2",1,0,0,0,"1",54,"1","4","5",77079.557851,5
"2",28,"6",0,"2","1","5","1","2",2,0,0,0,"1",33,"2","5","1",41366.977293,5
"2",34,"1",0,"2","2","1","2","2",5,1,2,1,"2",34,"2","1","4",28687.444194,0.44
"1",67,"3",0,"1","1","3","1","2",2,0,0,2,"1",67,"1","3","1",118939.339605,3.22
"1",51,"6",0,"1","1","5","1","2",2,0,0,0,"1",51,"1","5","1",13838.67475,5
