"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"1",72,"4",1,"1","1","3","1","2",3,0,0,2,"1",72,"1","3","1",9029.128627,5
"1",48,"3",0,"1","1","3","1","2",1,0,0,0,"1",48,"1","3","3",30341.43992,0.12
"1",26,"3",0,"1","1","4","1","2",1,1,0,0,"1",26,"1","4","5",69363.063882,4.2
"1",74,"4",0,"2","1","3","1","2",2,0,0,2,"1",74,"2","3","1",10588.710727,1.91
"1",67,"3",1,"1","1","4","1","2",2,0,0,2,"1",67,"1","4","1",121183.281969,3.18
"2",80,"2",0,"2","1","4","1","2",3,0,1,1,"2",50,"1","5","6",13411.099208,1.07
"1",64,"3",1,"1","1","2","1","2",3,0,0,1,"2",53,"1","2","1",20871.929909,0.85
"1",44,"1",1,"1","1","4","1","2",4,0,1,0,"1",44,"1","4","1",35873.495141,3.82
"1",80,"3",1,"1","1","2","1","2",2,0,0,2,"1",80,"1","2","1",38596.961709,1.34
"1",66,"6",1,"1","1","4","1","2",3,0,1,1,"1",66,"1","4","1",18803.70839,2.05
"1",40,"2",1,"1","1","4","1","2",3,0,1,0,"2",43,"2","2","1",30445.103746,2.78
"2",69,"3",0,"1","1","5","1","2",2,0,0,2,"1",76,"1","4","1",35738.505782,1.23
"2",31,"2",0,"1","1","3","1","2",4,0,3,0,"2",31,"1","3","4",23468.559567,0.36
"1",53,"4",1,"1","1","4","1","2",5,0,1,0,"1",53,"1","4","1",20488.637482,3.45
"2",27,"6",0,"2","2","5","1","2",4,2,0,0,"2",27,"2","5","1",23330.972539,3.77
"1",43,"2",1,"2","1","4","1","2",5,1,0,2,"1",43,"2","4","1",26654.6478,3.48
"1",61,"3",1,"1","1","4","1","2",2,0,2,1,"1",61,"1","4","1",20871.929909,1.08
"1",56,"4",1,"1","1","4","1","2",1,0,0,0,"1",56,"1","4","4",33172.946793,5
"1",80,"3",1,"1","1","5","1","2",1,0,0,1,"1",80,"1","5","2",34201.668854,4.35
"2",25,"3",1,"1","1","4","1","2",3,1,0,0,"1",26,"1","3","1",76959.87691,2.82
"1",72,"4",0,"2","1","1","1","2",2,0,0,2,"1",72,"2","1","3",8592.630376,1.26
"2",33,"3",0,"1","1","3","1","2",5,0,3,0,"1",41,"1","2","1",17842.876892,0.91
"1",57,"3",1,"1","1","3","1","2",1,0,0,0,"1",57,"1","3","3",94744.17032,4.35
"1",58,"3",0,"1","1","2","1","2",2,0,0,0,"1",58,"1","2","1",28883.536459,0.52
"1",21,"6",0,"2","2","3","1","2",3,0,0,0,"1",55,"2","5","1",30549.291064,3.03
"2",20,"4",0,"1","1","3","1","2",5,1,1,0,"2",41,"1","4","1",15975.126014,0.9
"2",80,"3",0,"1","1","5","1","2",1,0,0,1,"2",80,"1","5","2",47633.108974,1.57
"1",66,"4",1,"1","1","4","1","2",2,0,0,2,"2",63,"1","3","1",11965.601623,3.18
"1",57,"6",0,"2","1","5","1","2",3,0,1,0,"1",57,"2","5","1",12093.772926,5
"1",60,"1",1,"2","1","4","1","2",2,0,0,2,"1",60,"2","4","1",19223.252968,2.26
"2",74,"3",0,"1","1","3","1","2",1,0,0,1,"2",74,"1","3","2",76458.854396,1.57
