"SEQN","RIDAGEYR","DMDHRAGE","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","INDHHIN2","INDFMIN2","INDFMPIR"
77431,22,21,26197.604584,27051.976272,1,112,3,3,0.72
77433,58,58,19833.201141,19795.360593,2,104,10,10,3.54
77434,5,56,5206.414336,5474.606858,2,104,15,15,5
77435,10,33,15180.091781,15671.320873,1,107,5,5,0.76
77436,58,59,84145.999065,85893.302223,2,104,15,15,5
77437,6,31,10544.977765,10658.900456,2,112,10,10,3.1
77438,41,41,36547.499518,36204.708105,1,108,15,15,5
77439,14,35,25841.530979,27288.181037,2,107,8,8,1.13
77440,19,41,13750.75105,14921.8138,1,117,15,15,4.71
77441,11,36,11045.222559,11636.822833,1,104,4,4,0.87
77442,17,38,11087.575359,10863.193961,1,108,7,7,1.33
77443,64,64,82952.660857,88685.792391,1,115,6,6,1.28
77444,63,63,11845.98068,12822.686479,2,110,6,6,2.14
77445,20,20,63966.408313,65229.455278,1,105,15,6,2.44
77446,26,29,108811.300489,110314.182142,2,108,8,8,1.99
77447,8,39,8165.15324,8067.030638,1,116,15,15,3.96
77448,26,26,28639.765549,29250.40097,1,108,6,5,1.74
77449,1,31,7722.233556,7993.413675,2,114,6,6,1.17
77451,61,61,15335.752212,16680.86365,2,105,5,5,0.72
77452,27,21,36342.699311,37646.802096,2,110,3,3,0.73
77453,57,57,97004.862266,99863.615995,1,107,8,8,2.12
77454,3,40,15755.044787,16229.695196,1,111,7,7,1.27
77455,18,29,9830.200555,9540.56551,1,118,14,14,2.27
77456,62,65,14906.626544,14593.24569,1,106,8,8,3.09
77457,12,50,53228.818259,57681.404674,1,112,15,15,5
77459,29,27,64083.310917,68450.779634,2,107,7,5,1.71
77460,45,45,33795.250251,34493.909952,2,111,7,7,3.08
77461,20,20,26359.330998,29759.029125,2,114,1,1,0.04
77462,6,40,6692.275746,7086.984795,2,117,5,5,1.27
77463,50,56,25479.456602,25015.102626,1,111,9,9,2.63
77464,36,36,29118.060185,30597.900603,2,106,5,5,1.21
77465,21,56,24556.306261,25303.113439,2,104,15,15,5
77466,22,43,91809.675095,93870.272869,2,113,9,9,3.94
77467,4,42,14936.737892,15532.078255,2,111,6,6,0.52
77468,54,54,34604.668058,35585.577913,1,115,6,6,1.33
77469,67,66,83391.192488,83051.955702,1,113,9,9,4.05
77470,25,33,80448.016937,80825.041326,1,108,14,6,2.87
77471,62,62,103177.779075,103584.642743,1,108,8,8,2.9
77472,0,46,3876.971576,4112.317718,2,117,1,1,0.11
77473,31,35,14158.254438,14747.628699,1,117,15,15,5
77474,14,39,98594.471004,100988.608853,2,115,14,14,3.3
77475,48,48,87323.816868,95407.174,1,116,15,15,5
77476,9,56,7952.703234,7826.331154,2,108,5,5,0.48
77477,59,56,15376.305278,16840.231218,2,104,15,10,5
77478,4,37,9900.100844,10024.524833,2,118,3,3,0.45
77480,11,40,7401.433355,7283.821204,1,116,6,6,0.94
77481,54,54,17887.444481,19004.56417,1,118,5,5,0.96
77482,5,32,15350.661738,16594.498405,1,107,4,4,0.47
77483,45,45,18644.244543,19109.785081,2,108,6,6,0.88
77484,40,40,22605.231812,25768.857458,2,111,2,2,0.16
77485,49,49,25406.616349,25363.000677,1,107,8,8,3.22
77486,5,39,12473.78354,13094.542353,1,105,15,15,5
77487,18,19,13236.699487,13817.095122,1,117,13,2,0.44
77489,74,74,74432.157767,73167.520302,1,105,9,7,3.74
77490,3,24,15892.130767,16137.10999,2,112,7,7,1.13
77491,35,69,22439.553929,0,2,110,8,8,2.53
77492,34,26,32146.430297,34459.165453,2,116,6,6,1.26
77493,6,46,9563.104901,9411.142804,2,115,1,1,0.07
77494,80,80,27937.28961,28868.300987,2,107,6,6,1.88
77495,10,29,12637.926564,14422.440465,2,113,4,4,0.91
77496,1,50,13749.996698,14417.010653,1,107,14,14,2.53
77497,9,38,7288.950827,7211.293343,1,112,14,14,2.72
77498,59,59,112543.401742,114931.329301,2,113,15,15,5
77499,31,31,66061.309847,68581.671203,2,113,6,6,2.83
77500,3,20,23904.605358,25841.552777,1,108,7,7,1.49
77501,5,29,11354.141883,11716.834158,1,110,6,6,1.27
77502,55,55,91158.165654,93092.344758,2,104,15,15,5
77503,59,59,31168.527334,33506.479114,1,106,1,1,0.01
77504,14,65,9738.504874,10263.042946,1,104,15,15,5
77505,30,33,69839.334304,70936.739679,2,107,10,10,2.73
77506,0,71,13308.491158,14681.025484,1,116,7,7,1.45
